task_id,status,attempts,final_level,provider,model,prompt_tokens,completion_tokens,total_tokens,trace
moving-stones-until-consecutive-ii_python3,repair_fail,1,TAC,local_qwen,local_qwen,1177,2048,3225,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
largest-number-after-mutating-substring_python3,repair_fail,1,TAC,local_qwen,local_qwen,599,2048,2647,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
nim-game_python3,repair_fail,1,TAC,local_qwen,local_qwen,359,2048,2407,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:ModuleNotFoundError -> max_context_reached
find-all-possible-recipes-from-given-supplies_python3,repair_fail,1,TAC,local_qwen,local_qwen,841,2048,2889,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
sequential-digits_python3,repair_fail,1,TAC,local_qwen,local_qwen,387,2048,2435,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
check-if-string-is-transformable-with-substring-sort-operations_python3,repair_success,1,TAC,local_qwen,local_qwen,617,2048,2665,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_success
increasing-order-search-tree_python3,repair_success,1,TAC,local_qwen,local_qwen,403,1929,2332,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_success
check-if-one-string-swap-can-make-strings-equal_python3,repair_fail,1,TAC,local_qwen,local_qwen,472,2048,2520,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
disconnect-path-in-a-binary-matrix-by-at-most-one-flip_python3,repair_fail,1,TAC,local_qwen,local_qwen,728,2048,2776,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
smallest-string-starting-from-leaf_python3,repair_fail,1,TAC,local_qwen,local_qwen,450,2048,2498,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:NameError -> max_context_reached
online-election_python3,repair_fail,1,TAC,local_qwen,local_qwen,432,2048,2480,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
number-complement_python3,repair_fail,1,TAC,local_qwen,local_qwen,405,2048,2453,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:WrongAnswer -> max_context_reached
binary-tree-level-order-traversal-ii_python3,repair_fail,1,TAC,local_qwen,local_qwen,505,2048,2553,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
maximum-of-absolute-value-expression_python3,repair_fail,1,TAC,local_qwen,local_qwen,629,2048,2677,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
minimum-cost-to-make-at-least-one-valid-path-in-a-grid_python3,repair_fail,1,TAC,local_qwen,local_qwen,751,2048,2799,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
alternating-digit-sum_python3,repair_fail,1,TAC,local_qwen,local_qwen,387,2048,2435,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
best-time-to-buy-and-sell-stock-ii_python3,repair_fail,1,TAC,local_qwen,local_qwen,688,2048,2736,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> max_context_reached
substring-with-concatenation-of-all-words_python3,repair_fail,1,TAC,local_qwen,local_qwen,875,2048,2923,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
merge-k-sorted-lists_python3,repair_fail,1,TAC,local_qwen,local_qwen,471,2048,2519,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> max_context_reached
find-the-string-with-lcp_python3,repair_fail,1,TAC,local_qwen,local_qwen,835,2048,2883,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
range-sum-query-immutable_python3,repair_fail,1,TAC,local_qwen,local_qwen,337,2048,2385,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
plus-one_python3,repair_fail,1,TAC,local_qwen,local_qwen,469,2048,2517,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> max_context_reached
third-maximum-number_python3,repair_fail,1,TAC,local_qwen,local_qwen,424,2048,2472,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
minimum-index-sum-of-two-lists_python3,repair_fail,1,TAC,local_qwen,local_qwen,682,2048,2730,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
find-words-that-can-be-formed-by-characters_python3,repair_fail,1,TAC,local_qwen,local_qwen,451,2048,2499,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
maximize-number-of-nice-divisors_python3,repair_fail,1,TAC,local_qwen,local_qwen,571,2048,2619,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
find-closest-node-to-given-two-nodes_python3,repair_fail,1,TAC,local_qwen,local_qwen,682,2048,2730,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
delete-greatest-value-in-each-row_python3,repair_fail,1,TAC,local_qwen,local_qwen,559,2048,2607,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:WrongAnswer -> max_context_reached
count-anagrams_python3,repair_fail,1,TAC,local_qwen,local_qwen,436,2048,2484,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
word-subsets_python3,repair_fail,1,TAC,local_qwen,local_qwen,387,2048,2435,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> max_context_reached
next-greater-element-iv_python3,repair_fail,1,TAC,local_qwen,local_qwen,559,2048,2607,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
minimum-bit-flips-to-convert-number_python3,repair_fail,1,TAC,local_qwen,local_qwen,592,2048,2640,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> max_context_reached
sum-of-subarray-minimums_python3,repair_fail,1,TAC,local_qwen,local_qwen,483,2048,2531,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
linked-list-cycle_python3,repair_fail,1,TAC,local_qwen,local_qwen,458,2048,2506,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> max_context_reached
minimum-distance-to-the-target-element_python3,repair_fail,1,TAC,local_qwen,local_qwen,537,2048,2585,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:WrongAnswer -> max_context_reached
maximum-difference-between-node-and-ancestor_python3,repair_fail,1,TAC,local_qwen,local_qwen,560,2048,2608,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:TypeError -> max_context_reached
distribute-candies_python3,repair_fail,1,TAC,local_qwen,local_qwen,452,2048,2500,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
partition-array-into-three-parts-with-equal-sum_python3,repair_fail,1,TAC,local_qwen,local_qwen,498,2048,2546,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
convert-integer-to-the-sum-of-two-no-zero-integers_python3,repair_fail,1,TAC,local_qwen,local_qwen,439,2048,2487,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:WrongAnswer -> max_context_reached
reverse-nodes-in-k-group_python3,repair_fail,1,TAC,local_qwen,local_qwen,496,2048,2544,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:AttributeError -> max_context_reached
grid-game_python3,repair_fail,1,TAC,local_qwen,local_qwen,591,2048,2639,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> max_context_reached
how-many-numbers-are-smaller-than-the-current-number_python3,repair_fail,1,TAC,local_qwen,local_qwen,482,2048,2530,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
minimum-speed-to-arrive-on-time_python3,repair_fail,1,TAC,local_qwen,local_qwen,696,2048,2744,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:WrongAnswer -> max_context_reached
check-if-string-is-transformable-with-substring-sort-operations_python3,repair_fail,1,TAC,local_qwen,local_qwen,694,2048,2742,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:NameError -> max_context_reached
median-of-two-sorted-arrays_python3,repair_fail,1,TAC,local_qwen,local_qwen,594,2048,2642,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
minimize-the-total-price-of-the-trips_python3,repair_fail,1,TAC,local_qwen,local_qwen,947,2048,2995,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
increasing-decreasing-string_python3,repair_fail,1,TAC,local_qwen,local_qwen,532,2048,2580,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
binary-tree-inorder-traversal_python3,repair_fail,1,TAC,local_qwen,local_qwen,353,2048,2401,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:NameError -> max_context_reached
minimum-time-to-complete-all-tasks_python3,repair_fail,1,TAC,local_qwen,local_qwen,581,2048,2629,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
lexicographical-numbers_python3,repair_fail,1,TAC,local_qwen,local_qwen,319,2048,2367,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:WrongAnswer -> max_context_reached
maximum-performance-of-a-team_python3,repair_fail,1,TAC,local_qwen,local_qwen,686,2048,2734,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
range-sum-query-immutable_python3,repair_fail,1,TAC,local_qwen,local_qwen,335,2048,2383,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
merge-k-sorted-lists_python3,repair_fail,1,TAC,local_qwen,local_qwen,474,2048,2522,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
moving-stones-until-consecutive-ii_python3,repair_fail,1,TAC,local_qwen,local_qwen,601,2048,2649,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
binary-tree-level-order-traversal-ii_python3,repair_fail,1,TAC,local_qwen,local_qwen,468,2048,2516,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
find-positive-integer-solution-for-a-given-equation_python3,repair_fail,1,TAC,local_qwen,local_qwen,790,2048,2838,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
removing-minimum-and-maximum-from-array_python3,repair_fail,1,TAC,local_qwen,local_qwen,585,2048,2633,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:TypeError -> max_context_reached
maximum-number-of-consecutive-values-you-can-make_python3,repair_fail,1,TAC,local_qwen,local_qwen,490,2048,2538,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
sum-of-subarray-minimums_python3,repair_fail,1,TAC,local_qwen,local_qwen,489,2048,2537,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:WrongAnswer -> max_context_reached
can-you-eat-your-favorite-candy-on-your-favorite-day_python3,repair_fail,1,TAC,local_qwen,local_qwen,661,2048,2709,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
sliding-window-median_python3,repair_fail,1,TAC,local_qwen,local_qwen,818,2048,2866,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
kth-largest-sum-in-a-binary-tree_python3,repair_fail,1,TAC,local_qwen,local_qwen,572,2048,2620,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:TypeError -> max_context_reached
isomorphic-strings_python3,repair_fail,1,TAC,local_qwen,local_qwen,327,2048,2375,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
construct-binary-tree-from-preorder-and-inorder-traversal_python3,repair_fail,1,TAC,local_qwen,local_qwen,550,2048,2598,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
design-a-text-editor_python3,repair_fail,1,TAC,local_qwen,local_qwen,496,2048,2544,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
generate-random-point-in-a-circle_python3,repair_fail,1,TAC,local_qwen,local_qwen,423,2048,2471,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
convert-integer-to-the-sum-of-two-no-zero-integers_python3,repair_fail,1,TAC,local_qwen,local_qwen,446,2048,2494,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
find-bottom-left-tree-value_python3,repair_fail,1,TAC,local_qwen,local_qwen,432,2048,2480,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
binary-tree-level-order-traversal-ii_python3,repair_fail,1,TAC,local_qwen,local_qwen,447,2048,2495,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:TypeError -> max_context_reached
find-first-palindromic-string-in-the-array_python3,repair_success,1,TAC,local_qwen,local_qwen,404,1937,2341,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_success
number-of-pairs-of-strings-with-concatenation-equal-to-target_python3,repair_fail,1,TAC,local_qwen,local_qwen,737,2048,2785,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:NameError -> max_context_reached
minimum-difference-between-highest-and-lowest-of-k-scores_python3,repair_fail,1,TAC,local_qwen,local_qwen,602,2048,2650,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
maximize-number-of-nice-divisors_python3,repair_fail,1,TAC,local_qwen,local_qwen,572,2048,2620,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
number-complement_python3,repair_fail,1,TAC,local_qwen,local_qwen,401,2048,2449,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
reachable-nodes-with-restrictions_python3,repair_fail,1,TAC,local_qwen,local_qwen,599,2048,2647,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
ways-to-split-array-into-good-subarrays_python3,repair_fail,1,TAC,local_qwen,local_qwen,421,2048,2469,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
kth-largest-element-in-an-array_python3,repair_success,1,TAC,local_qwen,local_qwen,326,1310,1636,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_success
number-of-ways-of-cutting-a-pizza_python3,repair_fail,1,TAC,local_qwen,local_qwen,666,2048,2714,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
partition-string-into-substrings-with-values-at-most-k_python3,repair_fail,1,TAC,local_qwen,local_qwen,440,2048,2488,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
check-if-string-is-transformable-with-substring-sort-operations_python3,repair_fail,1,TAC,local_qwen,local_qwen,685,2048,2733,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
palindrome-pairs_python3,repair_fail,1,TAC,local_qwen,local_qwen,566,2048,2614,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
remove-duplicates-from-sorted-array-ii_python3,repair_fail,1,TAC,local_qwen,local_qwen,596,2048,2644,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
find-the-value-of-the-partition_python3,repair_success,1,TAC,local_qwen,local_qwen,510,1359,1869,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_success
all-elements-in-two-binary-search-trees_python3,repair_fail,1,TAC,local_qwen,local_qwen,433,2048,2481,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
pascals-triangle_python3,repair_success,1,TAC,local_qwen,local_qwen,356,2048,2404,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_success
string-compression-ii_python3,repair_fail,1,TAC,local_qwen,local_qwen,742,2048,2790,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
binary-tree-inorder-traversal_python3,repair_fail,1,TAC,local_qwen,local_qwen,350,2048,2398,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
find-all-possible-recipes-from-given-supplies_python3,repair_fail,1,TAC,local_qwen,local_qwen,843,2048,2891,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
check-if-point-is-reachable_python3,repair_fail,1,TAC,local_qwen,local_qwen,414,2048,2462,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
baseball-game_python3,repair_fail,1,TAC,local_qwen,local_qwen,850,2048,2898,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
maximum-elegance-of-a-k-length-subsequence_python3,repair_fail,1,TAC,local_qwen,local_qwen,923,2048,2971,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
split-linked-list-in-parts_python3,repair_fail,1,TAC,local_qwen,local_qwen,675,2048,2723,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
removing-minimum-and-maximum-from-array_python3,repair_fail,1,TAC,local_qwen,local_qwen,581,2048,2629,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:NameError -> max_context_reached
minimum-index-sum-of-two-lists_python3,repair_fail,1,TAC,local_qwen,local_qwen,686,2048,2734,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:WrongAnswer -> max_context_reached
frog-position-after-t-seconds_python3,repair_fail,1,TAC,local_qwen,local_qwen,813,2048,2861,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
sort-an-array_python3,repair_fail,1,TAC,local_qwen,local_qwen,417,2048,2465,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:WrongAnswer -> max_context_reached
arithmetic-slices-ii-subsequence_python3,repair_success,1,TAC,local_qwen,local_qwen,460,2048,2508,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_success
maximum-performance-of-a-team_python3,repair_fail,1,TAC,local_qwen,local_qwen,704,2048,2752,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
largest-positive-integer-that-exists-with-its-negative_python3,repair_fail,1,TAC,local_qwen,local_qwen,428,2048,2476,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
find-closest-node-to-given-two-nodes_python3,repair_fail,1,TAC,local_qwen,local_qwen,679,2048,2727,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
self-dividing-numbers_python3,repair_fail,1,TAC,local_qwen,local_qwen,384,2048,2432,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
find-the-middle-index-in-array_python3,repair_fail,1,TAC,local_qwen,local_qwen,547,2048,2595,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
can-place-flowers_python3,repair_fail,1,TAC,local_qwen,local_qwen,406,2048,2454,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
lexicographical-numbers_python3,repair_fail,1,TAC,local_qwen,local_qwen,328,2048,2376,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:NameError -> max_context_reached
fibonacci-number_python3,repair_fail,1,TAC,local_qwen,local_qwen,444,2048,2492,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:TypeError -> max_context_reached
check-if-two-string-arrays-are-equivalent_python3,repair_fail,1,TAC,local_qwen,local_qwen,460,2048,2508,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:AttributeError -> max_context_reached
