task_id,status,attempts,final_level,provider,model,prompt_tokens,completion_tokens,total_tokens,trace
moving-stones-until-consecutive-ii_python3,repair_fail,3,CDS,local_qwen,local_qwen,3141,6144,9285,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
largest-number-after-mutating-substring_python3,repair_fail,3,CDS,local_qwen,local_qwen,1748,6144,7892,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
nim-game_python3,repair_fail,3,CDS,local_qwen,local_qwen,1067,6011,7078,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:ModuleNotFoundError -> max_context_reached
find-all-possible-recipes-from-given-supplies_python3,repair_fail,3,CDS,local_qwen,local_qwen,2430,6144,8574,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
sequential-digits_python3,repair_success,1,TAC,local_qwen,local_qwen,387,2048,2435,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_success
check-if-string-is-transformable-with-substring-sort-operations_python3,repair_success,1,TAC,local_qwen,local_qwen,617,2048,2665,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_success
increasing-order-search-tree_python3,repair_success,1,TAC,local_qwen,local_qwen,403,1588,1991,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_success
check-if-one-string-swap-can-make-strings-equal_python3,repair_fail,3,CDS,local_qwen,local_qwen,1382,6144,7526,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:WrongAnswer -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
disconnect-path-in-a-binary-matrix-by-at-most-one-flip_python3,repair_fail,3,CDS,local_qwen,local_qwen,2049,6144,8193,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:NameError -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
smallest-string-starting-from-leaf_python3,repair_success,1,TAC,local_qwen,local_qwen,450,2048,2498,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_success
